Branch Name,Branch Number,Address1,Branch City,Branch Province,PostalCode,Branch Country,Region Name,Latitude,Longitude,BranchJoinKey,Telephone1,Division Name,LOBName
Saskatoon - AG,321,"1125 North Service Road, Highway 16 West",Saskatoon,SK,S7K 3J7,CA,CA West,52.21208717,-106.7145023,3211,(306) 933-3303,Northern Saskatchewan,CA-AG
Saskatoon - Collision - TT,55,2616 Northridge Dr,Saskatoon,SK,S7L 7L8,CA,CA West,52.1692027,-106.6670773,553,,Transportation SK,"CA-TT,CA-TT"
Saskatoon - TT,51,303 50 St East,Saskatoon,SK,S7K 6C1,CA,CA West,52.16972806,-106.6662106,513,(306) 242-3411,Transportation SK,"CA-TT,CA-TT"
Silverdale,22,2 Emirali Road,Silverdale,AUK,932,NZ,New Zealand,-36.6143727,174.6668557,228,09 427 9137,North Island North,"NZ-AG,NZ-CF"
Smithers,117,2905 RR5-TATLOW RD,Smithers,BC,V0J 2N5,CA,CA West,54.76567174,-127.1436838,1171,250-847-3236,Northern BC Division,CA-CF
South Central ON - TT,22,,,ON,,CA,CA Central,,,223,,Transportation ON,"CA-TT,CA-TT"
South West ON - TT,23,,,ON,,CA,CA Central,,,233,,Transportation ON,"CA-TT,CA-TT"
Southern SK - TT,62,,,SK,,CA,CA West,,,623,,Transportation SK,"CA-TT,CA-TT"
SRO - NZ,80,,,,,NZ,New Zealand,,,808,,,
St. Agathe,175,4863 Route 117,st-agathe des monts,QC,J8C 2Z8,CA,CA East,46.07111518,-74.31239426,1751,,Western Quebec,CA-CF
St. Augustin,165,"180, rue Rotterdam",Saint-Augustin-de-Desmaures,QC,G3A 1T3,CA,CA East,46.76115832,-71.45267753,1651,,Eastern Quebec,CA-CF
St. Georges,166,"3220, 127e Rue Est",Saint-Georges,QC,G5Y 6M5,CA,CA East,46.13160017,-70.64659103,1661,,Eastern Quebec,CA-CF
Stettler - AG,304,Highway 12 West,Stettler,AB,T0C 2L0,CA,CA West,52.32610244,-112.7609326,3041, (403) 742-4427,Central Alberta,CA-AG
Stoney Creek,158,760 South Service Road,Stoney Creek,ON,L8E 5M6,CA,CA Central,43.227583,-79.68779672,1581,,Southwest Ontario,CA-CF
Stoney Creek - TT,14,924 South Service Rd,Stoney Creek,ON,L8E 6A2,CA,CA Central,43.22482685,-79.67219208,143, (905) 643-1214,Transportation ON,"CA-TT,CA-TT"
Stratford,14,57-63 Juliet Street,Stratford,TKI,4332,NZ,New Zealand,-39.339353,174.2866894,148,06 765 5690,North Island South - CF,"NZ-CF,NZ-AG"
Sudbury,152,199 Mumford Road,Lively,ON,P3Y 0A4,CA,CA Central,46.42860199,-81.1152192,1521,,Northern Ontario,CA-CF
Sudbury - TT,19,"184 Fielding Road, Lively",Sudbury,ON,P3Y 1L6,CA,CA Central,46.43686207,-81.09772253,193,(866) 220-6099,Transportation ON,"CA-TT,CA-TT"
Sunshine,10,588 Ballarat Road,Sunshine,VIC,3020,AU,Australia,-37.77382017,144.8097054,107,03 9363 8100,Metro Victoria,AU-AG
Surrey,114,9500 190TH ST,Surrey,BC,V4N 3S2,CA,CA West,49.17477255,-122.6954942,1141,604-882-8888,BC Coastal Division,CA-CF
Swift Current,184,73VR+XV,Swift Current,SK,S9H 3X4,CA,CA West,50.29434309,-107.9091022,1841,,Saskatchewan / Manitoba Division,CA-CF
Swift Current - TT,93,73VR+XV,Swift Current,SK,S9H 3X4,CA,CA West,50.29434309,-107.9091022,933,,Transportation SK,"CA-TT,CA-TT"
Sydney,143,667 Keltic Drive,Sydney,NS,B1L 1B6,CA,CA East,46.12792998,-60.25520297,1431,,Atlantic Division,CA-CF
Te-Puke,19,575 Jellicoe Street,Te-Puke,BOP,3119,NZ,New Zealand,-37.7738176,176.3087903,198,07 282 7235,North Island South - CF,"NZ-CF,NZ-AG"
Terang,2,Lot 3 Cobden Road,Terang,VIC,3264,AU,Australia,-38.24976312,142.9293296,27,03 5592 2388,Southwest Victoria,"AU-AG,AU-CF"
Terrace,122,102 - 5221 Keith Avenue,Terrace,BC,V8G 1L2,CA,CA West,54.51346407,-128.6281004,1221,,Northern BC Division,CA-CF
Thunder Bay,150,1450 West Walsh Street,Thunder Bay,ON,P7E 6H6,CA,CA Central,48.37273986,-89.30133758,1501,,Northern Ontario,CA-CF
Timmins,151,4087 Highway 101 West,Timmins,ON,P4N 7X8,CA,CA Central,48.45153489,-81.44039328,1511,,Northern Ontario,CA-CF
Trochu - AG,302,102 - 1st Avenue North,Trochu,AB,T0M 2C0,CA,CA West,51.82417053,-113.2366771,3021,(403) 442-3982,Central Alberta,CA-AG
Trois-Rivières,167,"2000, rue Sidbec",Trois-Rivières,QC,G8Z 4H1,CA,CA East,46.3321023,-72.58233129,1671,,Western Quebec,CA-CF
Used International Sales - AG,350,,Calgary,AB,,CA,CA West,,,3501,,Head Office Division - AG,CA-AG
Val-d'Or,163,"1400, 3rd Avenue Est",Val-d'Or,QC,J9P 0J6,CA,CA Central,48.09946188,-77.73293345,1631,819-824-2345,Northern Ontario,CA-CF
Value Parts - Moncton,193,160 Urquhart Ave,Moncton,NB,E1H 2R5,CA,CA East,46.12845264,-64.7522349,1931,,Head Office Division - CF,CA-CF
Value Parts - Prince George,183,1049 GREAT ST,Prince George,BC,V2N 2K8,CA,CA West,53.87937804,-122.7383465,1831,,Head Office Division - CF,CA-CF
Value Parts - Regina,123,,Regina,SK,S4P 3R8,CA,CA West,50.45147569,-104.4954781,1231,,Head Office Division - CF,CA-CF
Vapormatic,21,15 Darragh Road,Fielding,WKO,4775,NZ,New Zealand,-40.23526292,175.5670738,218,06 350 0042,North Island North,"NZ-CF,NZ-CF"
Vars - TT,25,275 Corduroy Rd,Vars,ON,K0A 3H0,CA,CA Central,45.32688284,-75.35533993,253,,Transportation ON,"CA-TT,CA-TT"
Vernon,118,3104 48TH AVE,Vernon,BC,V1T 3R6,CA,CA West,50.28166635,-119.27218,1181,,Interior BC Division,CA-CF
Victoria,121,,Saanichton,BC,V8M 1Z9,CA,CA West,48.56670824,-123.4203199,1211,,BC Coastal Division,CA-CF
Vittoria - TT,211,1150 Vittoria Rd,Vittoria,ON,N0E 1W0,CA,CA Central,42.74962615,-80.35143637,2113,,,
Vulcan - AG,315,311 Service Road North,Vulcan,AB,T0L 2B0,CA,CA West,50.40874368,-113.2556831,3151,(403) 485-2231,Southern Alberta,CA-AG
Waipapa,16,1 Klinac Lane,Waipapa,NTL,230,NZ,New Zealand,-35.21164789,173.9184327,168,09 407 0666,North Island North,"NZ-AG,NZ-CF"
Waipukurau,12,21 Peel Street,Waipukurau,HKB,4200,NZ,New Zealand,-39.99334193,176.5544031,128,06 858 8822,North Island South - CF,"NZ-CF,NZ-AG"
Watrous - AG,323,"Box 609, Hwy 2 South",Watrous,SK,S0K 0E1,CA,CA West,51.67613797,-105.4777675,3231,(306) 946-3362,Northern Saskatchewan,CA-AG
Whangarei,17,115 Kioreroa Road,Whangarei,NTL,110,NZ,New Zealand,-35.74484092,174.3253716,178,09 438 7228,North Island North,"NZ-AG,NZ-CF"
Whangarei - CF,23,"115 Kioreroa Road, Port Whangarei",Whangarei,NZ,110,NZ,New Zealand,-35.74485386,174.3252762,238,,North Island South - CF,NZ-CF
Whitby - TT,12,1311 Hopkins Street,Whitby,ON,L1N 2C2,CA,CA Central,43.87292315,-78.91632122,123,(905) 665-8888,Transportation ON,"CA-TT,CA-TT"
Whitehorse,191,111 Jasper Road,Whitehorse,YK,,CA,CA West,,,1911,,Peace Area Division,CA-CF
Williams Lake,113,4610 RR2 MCRAE ST,Williams Lake,BC,V2G 5E9,CA,CA West,52.16629899,-122.1609214,1131,250-392-2901,Interior BC Division,CA-CF
Windsor,156,5655 Outer Drive,Windsor,ON,N9G 0C4,CA,CA Central,42.23414291,-82.98436919,1561,,Southwest Ontario,CA-CF
Windsor - TT,15,3795 Webster Drive,Windsor,ON,N9G 0C4,CA,CA Central,42.23443856,-82.9836871,153,(519) 737-6999,South West ON,"CA-TT,CA-TT"
Winnipeg,103,3700 McGillivary Blvd,Winnipeg,MB,R3T 5S3,CA,CA West,49.80465965,-97.24342868,1031,204-231-2333,Saskatchewan / Manitoba Division,CA-CF
